original_filename,cell_id,bethesda_system,area,perimeter,compactness,eccentricity,circularity,distance_from_original_nucleus
images/bef90ce102d8ea3841e78ed81d2d03ea.png,703,Negative for intraepithelial lesion,188.5,307.63960921764374,39.95427766708087,0.908039209569496,0.0250286091600129,29.546573405388315
images/df075c7d02cc7729bd04b5996a3e8991.png,11374,Negative for intraepithelial lesion,207.0,56.485281229019165,1.2265644727100178,0.5801347414152995,0.8152853129608119,7.0710678118654755
images/6bb20c67c4013e8805d0f64315b9bcb1.png,8129,ASC-US,64.0,32.0,1.2732395447351628,0.0,0.7853981633974483,22.360679774997894
images/eddca08930f139f44c5d22a48d9f2909.png,4407,Negative for intraepithelial lesion,631.0,99.11269783973694,1.238851845845246,0.6595850324197736,0.8071990233163985,12.806248474865695
images/ed10d2a300c0f99915a467afc514c5cf.png,4712,Negative for intraepithelial lesion,150.5,52.24264061450958,1.4431247555323607,0.7150642591402449,0.692940784340648,5.385164807134504
images/e4910c7beb3eab919a7e93d4bcc04241.png,9124,ASC-H,48.5,27.41421353816986,1.2331047764447918,0.2786815138875148,0.8109610951983623,20.808652046684813
images/36a2bc6bae69351df86a4a2fe4d49c2a.png,10722,Negative for intraepithelial lesion,616.5,97.35533845424652,1.2234228762213468,0.728944171844968,0.8173788633809034,4.0
images/77acea6065f24cef2351ef3bc2af43a1.png,10882,ASC-US,101.0,38.485281229019165,1.1669656998043982,0.5517079793501086,0.8569232156246029,26.92582403567252
images/b885f6b8c2023a5b25c95fd0381f9892.png,7231,Negative for intraepithelial lesion,630.0,99.25483322143556,1.2443796906336535,0.7678155099553341,0.8036132440338909,1.4142135623730951
images/fcc9c7e2fc1a0f4d30fa745308d15194.png,4666,LSIL,2448.5,216.75230705738068,1.526924223873887,0.769642681242965,0.654911346853184,9.433981132056603
images/d1139b2167d9254c2e29edb485c1bda8.png,11361,Negative for intraepithelial lesion,485.0,89.4558436870575,1.3130033358033162,0.5750562757802906,0.7616126880501672,3.0
images/b7c9bdb02733f1e3d77ac191115c15f7.png,1035,Negative for intraepithelial lesion,381.5,558.0071402788162,64.94939442108179,0.6370587993411542,0.0153966023688653,18.439088914585778
images/221e5472253d8a712be2eb84079a6a72.png,4335,Negative for intraepithelial lesion,666.5,99.01219260692596,1.170489004207466,0.4535607587600829,0.8543437797410975,6.708203932499369
images/f1e600e1264144f6c44514f8abf0191a.png,1273,Negative for intraepithelial lesion,527.0,91.11269783973694,1.2535375078412725,0.7076484977132895,0.7977423840488894,2.8284271247461903
images/5966509346d31911ac8644a23e128f56.png,3158,Negative for intraepithelial lesion,1368.5,165.63960921764374,1.5954152121322305,0.9207740723927672,0.6267960794127858,11.31370849898476
