cell_id,image_filename,bethesda_system
1,1_9ae8a4edde40219bad6303cebc672ee4.png,SCC
2,2_9ae8a4edde40219bad6303cebc672ee4.png,SCC
3,3_9ae8a4edde40219bad6303cebc672ee4.png,SCC
4,4_9ae8a4edde40219bad6303cebc672ee4.png,SCC
5,5_9ae8a4edde40219bad6303cebc672ee4.png,Negative for intraepithelial lesion
6,6_9ae8a4edde40219bad6303cebc672ee4.png,Negative for intraepithelial lesion
7,7_9ae8a4edde40219bad6303cebc672ee4.png,LSIL
8,8_9ae8a4edde40219bad6303cebc672ee4.png,LSIL
9,9_9ae8a4edde40219bad6303cebc672ee4.png,HSIL
10,10_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
11,11_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
12,12_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
13,13_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
14,14_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
15,15_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
16,16_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
17,17_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
18,18_9ae8a4edde40219bad6303cebc672ee4.png,LSIL
19,19_9ae8a4edde40219bad6303cebc672ee4.png,LSIL
20,20_9ae8a4edde40219bad6303cebc672ee4.png,LSIL
21,21_9ae8a4edde40219bad6303cebc672ee4.png,LSIL
22,22_9ae8a4edde40219bad6303cebc672ee4.png,LSIL
23,23_9ae8a4edde40219bad6303cebc672ee4.png,LSIL
24,24_9ae8a4edde40219bad6303cebc672ee4.png,LSIL
25,25_9ae8a4edde40219bad6303cebc672ee4.png,HSIL
26,26_9ae8a4edde40219bad6303cebc672ee4.png,HSIL
27,27_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
28,28_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
29,29_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
30,30_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
31,31_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
32,32_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
33,33_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
34,34_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
35,35_9ae8a4edde40219bad6303cebc672ee4.png,LSIL
36,36_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
37,37_9ae8a4edde40219bad6303cebc672ee4.png,LSIL
38,38_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
39,39_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
40,40_9ae8a4edde40219bad6303cebc672ee4.png,ASC-H
41,41_9ae8a4edde40219bad6303cebc672ee4.png,LSIL
42,42_9ae8a4edde40219bad6303cebc672ee4.png,LSIL
43,43_9ae8a4edde40219bad6303cebc672ee4.png,Negative for intraepithelial lesion
44,44_9ae8a4edde40219bad6303cebc672ee4.png,Negative for intraepithelial lesion
45,45_9ae8a4edde40219bad6303cebc672ee4.png,SCC
46,46_9ae8a4edde40219bad6303cebc672ee4.png,Negative for intraepithelial lesion
47,47_9ae8a4edde40219bad6303cebc672ee4.png,Negative for intraepithelial lesion
48,48_dc2df7c3f88649ded343b13b9486cddf.png,SCC
49,49_dc2df7c3f88649ded343b13b9486cddf.png,SCC
50,50_dc2df7c3f88649ded343b13b9486cddf.png,SCC
51,51_dc2df7c3f88649ded343b13b9486cddf.png,SCC
52,52_dc2df7c3f88649ded343b13b9486cddf.png,SCC
53,53_dc2df7c3f88649ded343b13b9486cddf.png,SCC
54,54_dc2df7c3f88649ded343b13b9486cddf.png,SCC
55,55_dc2df7c3f88649ded343b13b9486cddf.png,LSIL
56,56_dc2df7c3f88649ded343b13b9486cddf.png,LSIL
57,57_dc2df7c3f88649ded343b13b9486cddf.png,SCC
58,58_dc2df7c3f88649ded343b13b9486cddf.png,SCC
59,59_dc2df7c3f88649ded343b13b9486cddf.png,SCC
60,60_dc2df7c3f88649ded343b13b9486cddf.png,SCC
61,61_dc2df7c3f88649ded343b13b9486cddf.png,Negative for intraepithelial lesion
62,62_dc2df7c3f88649ded343b13b9486cddf.png,Negative for intraepithelial lesion
63,63_dc2df7c3f88649ded343b13b9486cddf.png,Negative for intraepithelial lesion
64,64_dc2df7c3f88649ded343b13b9486cddf.png,Negative for intraepithelial lesion
65,65_dc2df7c3f88649ded343b13b9486cddf.png,SCC
66,66_dc2df7c3f88649ded343b13b9486cddf.png,SCC
